"","PlayerId","SystemConfiguration","NumberOfGoals","NumberOfOperatorsPreCompilation","NumberOfPredicatesPreCompilation","NumberOfOperatorsPostCompilation","NumberOfPredicatesPostCompilation","NumberOfObservationsInput","NumberOfPlayerActionsTaken","Runtime","PlanRecognitionPrecision","PlanRecognitionRecall","PlanRecognitionF1Score","PlanRecognitionLevenshteinDistance","GoalRecognitionPrecision","GoalRecognitionRecall","GoalRecognitionF1Score","GoalRecognitionLevenshteinDistance","IndexterCalculationTime"
"126",-1328595570," cognitive_STRICT",26,14,15,647,712,4,29,1343.585,0.204081632653061,0.120481927710843,0.151515151515152,239,-1,0,0,21,29.461
"127",-1328595570," cognitive_STRICT",26,14,15,647,712,4,30,463.289,0.173076923076923,0.108433734939759,0.133333333333333,237,-1,0,0,21,31.369
"128",-1328595570," cognitive_STRICT",26,14,15,647,712,4,31,448.112,0.255813953488372,0.132530120481928,0.174603174603175,245,-1,0,0,21,32.514
"129",-1328595570," cognitive_STRICT",26,14,15,651,714,5,32,1475.621,0.0652173913043478,0.036144578313253,0.0465116279069767,261,-1,0,0,21,32.944
"130",-1328595570," cognitive_STRICT",26,14,15,652,714,5,33,461.374,0.0769230769230769,0.036144578313253,0.0491803278688525,255,-1,0,0,21,36.316
"131",-1328595570," cognitive_STRICT",26,14,15,652,714,5,34,1590.535,0.163265306122449,0.0963855421686747,0.121212121212121,254,-1,0,0,21,37.368
"132",-1328595570," cognitive_STRICT",26,14,15,651,714,5,35,1484.566,0.15,0.072289156626506,0.0975609756097561,262,-1,0,0,21,36.451
"133",-1328595570," cognitive_STRICT",26,14,15,651,714,5,36,1552.563,0.224489795918367,0.132530120481928,0.166666666666667,245,-1,0,0,21,36.255
"134",-1328595570," cognitive_STRICT",26,14,15,651,714,5,37,1996.277,0.133333333333333,0.072289156626506,0.09375,257,-1,0,0,21,37.445
"135",-1328595570," cognitive_STRICT",26,14,15,651,714,5,38,1156.75,0.170731707317073,0.0843373493975904,0.112903225806452,259,-1,0,0,21,39.574
"136",-1328595570," cognitive_STRICT",26,14,15,651,714,5,39,1619.467,0.1875,0.108433734939759,0.137404580152672,250,-1,0,0,21,41.934
"137",-1328595570," cognitive_STRICT",26,14,15,651,714,5,40,1171.064,0.2,0.0963855421686747,0.130081300813008,260,-1,0,0,21,40.882
"138",-1328595570," cognitive_STRICT",26,14,15,651,714,5,41,431.164,0.257142857142857,0.108433734939759,0.152542372881356,268,-1,0,0,21,42.282
"139",-1328595570," cognitive_STRICT",26,14,15,656,716,6,42,1673.015,0.170212765957447,0.0963855421686747,0.123076923076923,252,-1,0,0,21,45.079
"140",-1328595570," cognitive_STRICT",26,14,15,656,716,6,43,1256.026,0.181818181818182,0.0963855421686747,0.125984251968504,255,-1,0,0,21,45.407
"141",-1328595570," cognitive_STRICT",26,14,15,656,716,6,44,448.526,0.0810810810810811,0.036144578313253,0.05,237,-1,0,0,21,45.656
"142",-1328595570," cognitive_STRICT",26,14,15,656,716,6,45,1244.88,0.2,0.0963855421686747,0.130081300813008,261,-1,0,0,21,45.9
"143",-1328595570," cognitive_STRICT",26,14,15,656,716,6,46,1195.478,0.2,0.0963855421686747,0.130081300813008,245,-1,0,0,21,48.609
"144",-1328595570," cognitive_STRICT",26,14,15,656,716,6,47,1489.197,0.18,0.108433734939759,0.135338345864662,248,-1,0,0,21,50.821
