(pickup arthur mushroom docks), success,0:18,pick up mushroom
(move-through-doorway arthur docks junkyard), success,0:27,go to doorway toward junkyard
(talk-to arthur alli junkyard), success,0:36,talk to alli
(look-at arthur mirror junkyard), success,1:18,look at mirror
(move-through-doorway arthur junkyard docks), success,1:29,go to doorway toward docks
(move-through-doorway arthur docks townarch), success,1:44,go to doorway toward townarch
(open arthur hutentrance townarch), success,2:01,open hutentrance
(move-through-entrance arthur townarch hutentrance hut), success,2:07,go to hutentrance
(talk-to arthur michael hut), success,2:32,talk to michael
(pickup arthur tastycupcake hut), success,2:53,pick up tastycupcake
(move-through-entrance arthur hut hutexit townarch), success,3:00,go to hutexit
(move-through-doorway arthur townarch docks), success,3:07,go to doorway toward docks
(move-through-doorway arthur docks junkyard), success,3:14,go to doorway toward junkyard
(give arthur tastycupcake alli junkyard), success,3:30,give alli tastycupcake
(give alli ash arthur junkyard), success,3:34,give arthur ash
(move-through-doorway arthur junkyard docks), success,3:43,go to doorway toward docks
(move-through-doorway arthur docks townarch), success,3:49,go to doorway toward townarch
(talk-to arthur dorian townarch), success,3:56,talk to dorian
(give dorian loveletter arthur townarch), success,4:11,give arthur loveletter
(look-at arthur townsquare townarch), success,4:25,look at townsquare
(unlock-entrance arthur shinykey townsquare townarch), failure,4:41,use shinykey with townsquare
(talk-to arthur karina townarch), success,4:53,talk to karina
