PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance
-474586450, Baseline, 26, 14, 15, 641, 706, 1, 1, 2107.131, 0.176470588235294, 0.0818181818181818, 0.111801242236025, 361, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 642, 708, 2, 2, 633.563, 0.173913043478261, 0.0727272727272727, 0.102564102564103, 363, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 644, 710, 3, 3, 636.117, 0.08, 0.0363636363636364, 0.05, 360, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 647, 712, 4, 4, 658.382, 0.134615384615385, 0.0636363636363636, 0.0864197530864197, 357, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 651, 714, 5, 5, 709.743, 0.218181818181818, 0.109090909090909, 0.145454545454545, 352, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 656, 716, 6, 6, 703.759, 0.264150943396226, 0.127272727272727, 0.171779141104294, 355, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 662, 718, 7, 7, 22819.277, 0.196428571428571, 0.1, 0.132530120481928, 351, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 669, 720, 8, 8, 24996.883, 0.140350877192982, 0.0727272727272727, 0.0958083832335329, 352, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 677, 722, 9, 9, 33931.418, 0.129032258064516, 0.0727272727272727, 0.0930232558139535, 346, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 686, 724, 10, 10, 40088.836, 0.129032258064516, 0.0727272727272727, 0.0930232558139535, 346, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 696, 726, 11, 11, 50073.837, 0.17741935483871, 0.1, 0.127906976744186, 348, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 707, 728, 12, 12, 52296.455, 0.193548387096774, 0.109090909090909, 0.13953488372093, 340, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 719, 730, 13, 13, 61858.876, 0.194029850746269, 0.118181818181818, 0.146892655367232, 339, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 733, 732, 14, 14, 72787.67, 0.194029850746269, 0.118181818181818, 0.146892655367232, 339, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 747, 734, 15, 15, 92763.649, 0.220588235294118, 0.136363636363636, 0.168539325842697, 339, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 762, 736, 16, 16, 145851.233, 0.157894736842105, 0.109090909090909, 0.129032258064516, 317, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 778, 738, 17, 17, 197180.174, 0.191780821917808, 0.127272727272727, 0.153005464480874, 334, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 795, 740, 18, 18, 242268.934, 0.25, 0.172727272727273, 0.204301075268817, 331, 0.666666666666667, 0.666666666666667, 0.666666666666667, 12
-474586450, Baseline, 26, 14, 15, 814, 742, 19, 19, 287300.067, 0.186666666666667, 0.127272727272727, 0.151351351351351, 332, 0.666666666666667, 0.666666666666667, 0.666666666666667, 12
-474586450, Baseline, 26, 14, 15, 833, 744, 20, 20, 225943.857, 0.236842105263158, 0.163636363636364, 0.193548387096774, 340, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 854, 746, 21, 21, 266231.588, 0.236842105263158, 0.163636363636364, 0.193548387096774, 340, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
-474586450, Baseline, 26, 14, 15, 876, 748, 22, 22, 312801.585, 0.230769230769231, 0.163636363636364, 0.191489361702128, 338, 0.333333333333333, 0.333333333333333, 0.333333333333333, 13
