PlayerId, SystemConfiguration, NumberOfGoals, NumberOfOperatorsPreCompilation, NumberOfPredicatesPreCompilation, NumberOfOperatorsPostCompilation, NumberOfPredicatesPostCompilation, NumberOfObservationsInput, NumberOfPlayerActionsTaken, Runtime, PlanRecognitionPrecision, PlanRecognitionRecall, PlanRecognitionF1Score, PlanRecognitionLevenshteinDistance, GoalRecognitionPrecision, GoalRecognitionRecall, GoalRecognitionF1Score, GoalRecognitionLevenshteinDistance
-5811686, Baseline, 26, 14, 15, 2084, 812, 54, 54, 4983.865, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2138, 814, 55, 55, 5152.366, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2194, 816, 56, 56, 5390.52, 0.865671641791045, 0.537037037037037, 0.662857142857143, 188, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2251, 818, 57, 57, 1130471.744, 0.247619047619048, 0.240740740740741, 0.244131455399061, 318, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 2308, 820, 58, 58, 1202605.592, 0.203883495145631, 0.194444444444444, 0.199052132701422, 314, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 2366, 822, 59, 59, 1189250.989, 0.14, 0.12962962962963, 0.134615384615385, 311, 1, 0.6, 0.75, 22
-5811686, Baseline, 26, 14, 15, 2425, 824, 60, 60, 2672098.309, 0.153225806451613, 0.175925925925926, 0.163793103448276, 359, 1, 0.6, 0.75, 20
-5811686, Baseline, 26, 14, 15, 2486, 826, 61, 61, 2942859.292, 0.184210526315789, 0.194444444444444, 0.189189189189189, 346, 1, 0.6, 0.75, 24
-5811686, Baseline, 26, 14, 15, 2547, 828, 62, 62, 7171.154, 0.914285714285714, 0.592592592592593, 0.719101123595506, 176, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2610, 830, 63, 63, 7663.751, 0.914285714285714, 0.592592592592593, 0.719101123595506, 176, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2673, 832, 64, 64, 8168.953, 0.915492957746479, 0.601851851851852, 0.726256983240224, 172, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2737, 834, 65, 65, 8235.577, 0.904109589041096, 0.611111111111111, 0.729281767955801, 162, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 2802, 836, 66, 66, 8382.901, 0.959459459459459, 0.657407407407407, 0.78021978021978, 158, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 2868, 838, 67, 67, 9834.034, 0.918918918918919, 0.62962962962963, 0.747252747252747, 158, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 2936, 840, 68, 68, 10668.259, 0.584269662921348, 0.481481481481481, 0.527918781725888, 210, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 3005, 842, 69, 69, 11025.44, 0.588888888888889, 0.490740740740741, 0.535353535353535, 208, 1, 0.6, 0.75, 21
-5811686, Baseline, 26, 14, 15, 3074, 844, 70, 70, 11439.898, 0.922077922077922, 0.657407407407407, 0.767567567567568, 144, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3145, 846, 71, 71, 11664.464, 0.922077922077922, 0.657407407407407, 0.767567567567568, 144, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3217, 848, 72, 72, 12212.385, 0.961038961038961, 0.685185185185185, 0.8, 144, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 3289, 850, 73, 73, 12215.882, 0.961038961038961, 0.685185185185185, 0.8, 144, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 3363, 852, 74, 74, 12648, 0.961038961038961, 0.685185185185185, 0.8, 144, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 3437, 854, 75, 75, 12783.287, 1, 0.722222222222222, 0.838709677419355, 140, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 3513, 856, 76, 76, 13656.39, 0.264367816091954, 0.212962962962963, 0.235897435897436, 144, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3590, 858, 77, 77, 13910.363, 0.272727272727273, 0.222222222222222, 0.244897959183673, 141, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3667, 860, 78, 78, 13989.219, 0.269662921348315, 0.222222222222222, 0.243654822335025, 140, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3746, 862, 79, 79, 14521.217, 0.277777777777778, 0.231481481481481, 0.252525252525252, 137, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3826, 864, 80, 80, 15384.549, 0.274725274725275, 0.231481481481481, 0.251256281407035, 135, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3907, 866, 81, 81, 15823.302, 0.271739130434783, 0.231481481481481, 0.25, 133, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 3988, 868, 82, 82, 16214.069, 0.268817204301075, 0.231481481481481, 0.248756218905473, 134, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4070, 870, 83, 83, 16460.767, 0.265957446808511, 0.231481481481481, 0.247524752475247, 134, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4154, 872, 84, 84, 17109.7, 0.263157894736842, 0.231481481481481, 0.246305418719212, 137, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4239, 874, 85, 85, 18074.961, 0.270833333333333, 0.240740740740741, 0.254901960784314, 137, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4325, 876, 86, 86, 18747.146, 0.268041237113402, 0.240740740740741, 0.253658536585366, 135, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4411, 878, 87, 87, 19049.865, 0.26530612244898, 0.240740740740741, 0.252427184466019, 138, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4499, 880, 88, 88, 19696.99, 0.262626262626263, 0.240740740740741, 0.251207729468599, 136, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4588, 882, 89, 89, 20725.455, 0.27, 0.25, 0.259615384615385, 136, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4678, 884, 90, 90, 21545.13, 0.267326732673267, 0.25, 0.258373205741627, 134, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4769, 886, 91, 91, 21956.332, 0.274509803921569, 0.259259259259259, 0.266666666666667, 129, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4861, 888, 92, 92, 22393.693, 0.271844660194175, 0.259259259259259, 0.265402843601896, 125, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 4953, 890, 93, 93, 22689.382, 0.278846153846154, 0.268518518518519, 0.273584905660377, 120, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 5047, 892, 94, 94, 23264.439, 0.276190476190476, 0.268518518518519, 0.272300469483568, 115, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 5142, 894, 95, 95, 23704.753, 0.273584905660377, 0.268518518518519, 0.271028037383178, 111, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 5238, 896, 96, 96, 24254.522, 0.280373831775701, 0.277777777777778, 0.27906976744186, 107, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 5335, 898, 97, 97, 24702.686, 0.277777777777778, 0.277777777777778, 0.277777777777778, 103, 1, 0.6, 0.75, 13
-5811686, Baseline, 26, 14, 15, 5432, 900, 98, 98, 25095.836, 1, 0.907407407407407, 0.951456310679612, 47, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 5530, 902, 99, 99, 25393.159, 1, 0.916666666666667, 0.956521739130435, 42, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 5630, 904, 100, 100, 26588.6, 1, 0.925925925925926, 0.961538461538461, 37, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 5731, 906, 101, 101, 28239.67, 1, 0.935185185185185, 0.966507177033493, 33, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 5833, 908, 102, 102, 28612.548, 1, 0.944444444444444, 0.971428571428571, 28, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 5935, 910, 103, 103, 29043.989, 1, 0.953703703703704, 0.976303317535545, 23, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 6039, 912, 104, 104, 29704.68, 1, 0.962962962962963, 0.981132075471698, 18, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 6144, 914, 105, 105, 31226.103, 1, 0.972222222222222, 0.985915492957746, 14, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 6250, 916, 106, 106, 32455.119, 1, 0.981481481481482, 0.990654205607477, 9, 1, 0.6, 0.75, 23
-5811686, Baseline, 26, 14, 15, 6357, 918, 107, 107, 33446.804, 1, 0.990740740740741, 0.995348837209302, 5, 1, 0.6, 0.75, 23
